id	citations	year
2240534846	9	1996
2086209082	0	1994
1903953169	0	2008
1926641987	0	1996
2178897412	0	2015
1981844441	152	1995
1953375501	63	2017
141205933	0	1965
2022644500	6	1970
2038975435	67	2009
2018921020	0	1962
2242905670	2	1998
189322099	0	2010
129628898	0	2011
1975831460	31	1974
1562114931	18	2001
2055647912	11	2003
2178774538	0	2012
164205772	2	1936
2162884576	0	1987
2129761351	0	1999
2005292285	0	1954
2000991167	186	1981
2186207456	0	2015
202323600	1	2013
2091611134	9	2009
1999013811	4	2004
1487341520	0	2009
2040946502	0	1998
2004528514	22	2001
1975991014	3	2002
2029672767	33	2006
1484487254	3	2013
2035756548	0	1942
1988720032	33	2012
2064974307	72	1958
2011799546	54	1990
1483978344	0	2008
2169244360	32	2008
2245016929	3	2003
1975914554	0	1941
2053644686	10	2012
2073431798	17	1956
212425526	0	2014
1534713430	1	2012
2012075870	2	1973
2052179259	4	1972
2149076498	38	2009
2186210691	6	2012
1606695386	0	2009
2228498652	0	1993
2124323236	3	1994
2143405141	40	2013
1987383270	0	2012
1123872913	0	2011
2185973313	20	1995
2222684605	3	1992
2033151223	8	1979
1966484381	0	2005
2129917171	0	1979
103543110	0	2005
126713891	23	2003
2181817676	1	1980
1911742115	4	2013
1983405354	40	2004
1979397412	10	1993
2156115799	34	2008
1527736677	0	2007
2115589937	22	2009
2118531295	0	2012
2240756862	0	2001
2175442081	2	1997
1521167384	0	1990
1857458716	0	2012
2024085669	20	1999
1865207996	0	2007
1964787690	1	1984
2070267102	8	1988
1699068512	0	2007
2080719863	76	1993
188456666	0	2001
1490612328	13	2001
2086933878	1	2015
1180354324	0	2013
2091292431	12	2014
2048838890	0	1924
187950574	0	1990
1577629062	80	2004
2035501319	6	2009
1530007816	0	2010
108976439	86	1980
1516866484	0	2013
2197557082	0	2015
2075373463	89	1984
2056991131	0	1852
2164985205	0	1888
1495809251	0	2010
2032184064	17	2000
2188437229	0	2014
2001290356	2	1996
2224099054	0	2004
2088695822	0	1984
1547814835	0	2014
163842236	0	1988
2133393751	32	2012
112539160	0	1965
1968483538	0	2004
2247007089	0	1989
2242823992	1	1995
2008677894	205	2003
1514982738	0	1923
2226248919	12	1975
2192592414	2	2011
2080217281	27	1999
1977886693	2	1977
2103640109	0	2011
1674848531	8	2011
2050693583	5	2005
2097335431	10	1960
118532334	1	1999
2228126618	0	1976
1988038914	0	2014
1990342573	10	1995
1534955868	0	2013
2021318672	7	2011
1628858192	0	2007
2029322577	8	1997
2036950529	42	2015
1485005417	51	2003
2048621903	0	1978
2118426980	41	2009
2134221333	13	2007
2081862054	10	2012
1608188887	0	2008
2037738950	2	2014
2010640046	3	2003
2235877899	0	2009
1036738728	0	2010
1977270057	12	1967
2177833635	19	2006
2085610670	8	2010
1560770731	0	2003
2115098335	28	2013
2145124157	25	2003
1156573189	0	2011
2076273200	4	1939
1591332564	0	2012
2158304322	12	1963
2078019185	3	1997
2203401041	2	2015
1965725351	0	2011
2037376580	0	2007
1982645873	31	1995
200817606	0	1989
1998475550	2	2004
115928220	0	1979
2046230930	0	1949
2056507704	0	2004
2083485991	7	2005
1967024620	0	1970
2052010129	0	2008
2185832168	0	1988
2199829981	0	2009
2138998643	82	1998
2141505299	9	2007
2003888827	0	2005
2079002575	3	1995
2146057408	0	1995
1973466671	1	1998
1963790410	14	1990
2113879766	31	2014
1930146779	0	2014
1515652887	15	1997
1992461207	25	2008
2020682391	101	2007
2036304281	15	2010
1993535090	128	1996
1570973494	4	2003
131745373	15	1992
2185491118	0	1977
2181484068	1	2014
2162601312	0	2005
2051201213	13	1984
2068749583	11	2009
1869036380	7	1995
1267341129	0	2014
1480691066	8	2001
182988058	0	1978
2008559524	18	2006
2061115334	17	2010
1495574547	0	2013
1645623530	0	2011
2168121095	1	2014
2079886739	36	2010
2156154128	74	2010
2059990005	11	1988
1997514132	12	1999
2057729281	0	2010
169046095	4	1976
2079768017	19	2012
1948286476	0	2015
1154931238	0	2008
2068058284	3	2013
2004559994	17	2008
12304160	0	2001
2108254661	0	2014
1508139859	36	2004
2026770821	0	2004
223979289	13	2003
2014892756	0	1999
1517977900	0	1993
2012882760	9	1998
1978997665	0	1996
2076498337	1	1966
1979532219	103	1990
2218993675	0	2004
1975574877	0	1989
1030076771	0	2003
1994513481	0	2006
202404933	0	1975
2088044562	15	1914
19278759	0	2012
2002794080	15	2009
2197185213	3	1991
2033016641	20	1951
2160875477	406	2001
1669117405	3	1989
2126512075	0	2011
1973095396	12	2009
1933672954	0	2009
1988214097	0	2004
1968509580	6	2009
2105364426	78	2002
2152278465	0	1980
1540467436	71	2001
1971818445	55	2013
2043201616	2	1971
126610240	29	1998
2188364760	0	1998
2050397320	7	1981
2032287124	0	2007
2030750975	5	1982
2026790308	14	1989
2043741830	12	1988
2043534194	0	2001
1997061658	15	2007
2004360874	16	2002
1740358385	155	2003
1946247158	3	2015
1564680955	0	2000
2039319912	9	2014
2026774496	3	1978
1904420225	1	1942
1449620797	0	2014
2014871619	0	2011
1589164676	21	1976
1593404760	1	1966
2005723982	0	1975
2135037135	5	2014
1979830012	29	1979
2042964370	0	1937
2041744658	0	1982
2161800213	0	2011
1839501585	0	2014
11998597	3	1994
1562441598	1	1996
2218078207	8	2015
1590591236	0	2009
1971081803	6	1977
1482839720	1	2012
2053067555	4	2013
2086008052	16	2009
1501706700	0	2012
1887441595	3	2016
1969686638	41	1979
2188760819	0	2009
2188732875	0	2013
2223226598	3	2010
2034545108	3	2001
162752868	21	1997
2198208934	8	2005
2010657719	3	1996
2005998348	6	1984
2197728893	0	2005
1559643192	62	2013
1921120254	13	2015
2013241821	6	1983
167993172	0	2015
1967083336	0	2010
2121307079	69	2002
154119667	0	2010
2067923782	0	2005
2228724373	0	1979
1485753051	0	2003
2082255268	51	1998
1673643417	75	1985
2201759015	3	2016
1836298309	0	2015
2188269533	0	2006
117014232	0	2011
2181656753	1	2004
1723939935	19	2005
1585385534	1	2013
2239767790	2	2013
1943747098	9	2015
1522360662	7	2006
2093688982	21	2006
1848456016	0	2011
1547266092	1	1977
2168601799	39	2013
1486825889	4	1946
1002085126	0	2005
2004671157	30	2011
1572765470	1	2011
2085013666	0	2002
2027122136	15	2013
1539394349	6	2009
1505777609	1	2006
1592495123	5	2012
1965549833	14	2008
20991716	23	1998
2035953055	85	1995
2133582647	0	2012
1812926643	3	2015
2153762422	0	2008
2103926792	6	1992
126483635	0	1949
2109530700	605	1998
1601318493	1	2009
2096834609	20	1996
2077421714	31	2014
2086945776	0	2005
2231558937	0	2015
195548210	0	1986
1998499066	0	1987
1548415012	2	2009
1151903751	0	2006
1995992298	1	2006
1490503399	9	2007
2040402092	7	1996
148367508	2	1995
2070888795	0	1900
2039223016	45	1996
153403107	3	1979
1518298588	0	2009
2048314869	2	2009
2236529493	9	1994
2112062218	156	2008
2068354437	70	1999
2199799245	1	2003
2188738414	0	2011
1948811037	0	2005
16686989	0	2011
1483024568	129	1996
1513573647	33	1999
2097075672	17	2009
2032545903	59	2005
1965151979	16	2015
2037446210	0	1989
1963815444	0	2005
1995963916	47	1972
144531559	0	2009
2059324879	8	1929
2010166011	4	2000
2219065708	0	2013
1580206678	0	2007
1969015537	2	2000
190584210	15	2008
2178338567	5	2016
2094734970	18	1997
2131505046	109	2011
1508679609	0	2000
1600526730	0	2011
2065409606	6	1971
1509583148	0	2003
2100133807	21	2010
2182448893	14	2016
173920902	12	1980
161770014	0	1975
1973109951	50	2000
2161309399	0	2015
193619067	0	1997
2165946530	61	2010
1982588774	33	1991
2143900748	0	2015
2057947599	26	1979
1497999967	0	2013
2038467410	1	2013
1162308532	1	1994
1455482429	0	2012
2049830809	0	1985
2115605631	0	2011
1520881182	5	2002
2239781129	0	1970
135142049	1	2002
2184299630	0	2013
2145279125	1	2008
1588626635	0	1952
104275219	28	1999
1544957190	0	1998
2099653328	38	2010
1523830201	2	2015
2149779687	367	2004
2202644022	0	2008
2085447309	0	2015
2127403400	2	2012
2103533563	1	2010
2075117321	0	1978
2208522718	4	1968
2109945592	3	2008
2036802059	1	2017
1952619459	1	2005
2053858949	3	1978
2122790625	20	1996
1593901977	106	1992
2090334781	1	2011
2058454976	2	2000
1489439496	4	1996
2086520980	2	2009
1123201953	0	2007
1030670479	0	1999
2225068322	15	2005
2035781618	0	2012
2027296369	3	1966
2005743923	18	2014
1023161119	2	1999
1987984085	26	2003
2072266998	13	2002
1577095873	23	2003
1592171654	0	2013
2201288798	0	2010
2245243035	4	1984
1679800315	7	2015
2072489326	6	1981
124543206	0	2014
2077262747	6	1979
2122737616	32	2007
2127957818	0	2013
1524207810	17	2005
2065873904	47	1988
2060961152	18	2006
2198660204	5	2007
2044895054	11	2010
2123286131	0	2010
2067225607	2	2010
2137157965	1	2014
2150987599	11	1989
2118412686	28	2015
126376566	0	2002
1905336308	0	2008
2040252336	1	2013
2153401945	1	1998
1525064086	1	2008
2039973387	1	2007
1973387721	14	1972
2068662925	34	2001
1958444533	0	2010
109553601	0	2013
1917159888	19	1989
2162717094	14	1995
166903851	0	1985
1964323378	36	1996
1564013935	18	2004
2063318862	1	2012
1495501724	0	2014
1485768097	4	2012
2044559113	11	1994
2186829572	0	2014
2065599917	0	2000
10155650	4	2012
2243302879	2	1999
1501726520	0	2013
2058785693	24	2009
1006901430	0	2002
176333123	0	1996
2021990322	36	1999
1532194163	12	1997
2181591872	0	2014
2070769670	0	1990
2030245106	1	1991
2121250260	1	2010
1527797271	1	2007
2110823813	13	1982
2121771588	0	1994
2094515028	2	1995
2070056932	1	2011
2058916570	1	2008
1483587961	0	2013
2028756113	20	2006
2240464515	0	2012
